LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.420, Time: 2.364852 s
         1506687 function calls (1490005 primitive calls) in 2.886 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       55    0.000    0.000    0.001    0.000 typing.py:1574(copy_with)
       76    0.001    0.000    0.001    0.000 typing.py:1813(__hash__)
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
  278/178    0.000    0.000    0.001    0.000 core.py:2138(name)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cbook.py:1(<module>)
       22    0.000    0.000    0.001    0.000 core.py:5469(parseImpl)
     7110    0.001    0.000    0.001    0.000 enum.py:1156(__new__)
      356    0.000    0.000    0.001    0.000 inspect.py:801(_findclass)
     22/3    0.000    0.000    0.001    0.000 core.py:4440(streamline)
      450    0.000    0.000    0.001    0.000 __init__.py:183(sub)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
  208/115    0.000    0.000    0.001    0.000 core.py:2091(default_name)
        2    0.000    0.000    0.001    0.001 core.py:6563(srange)
        1    0.000    0.000    0.001    0.001 inset.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _afm.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tz.py:1(<module>)
        1    0.000    0.000    0.001    0.001 core.py:390(ParserElement)
      217    0.000    0.000    0.001    0.000 enum.py:1607(__and__)
     6625    0.001    0.000    0.001    0.000 _parser.py:239(__next)
        1    0.000    0.000    0.001    0.001 __init__.py:477(StrFormatStyle)
       39    0.000    0.000    0.001    0.000 colors.py:419(to_rgba_array)
   274/19    0.000    0.000    0.001    0.000 ast.py:418(visit)
       28    0.000    0.000    0.001    0.000 _docstring.py:79(<genexpr>)
        6    0.000    0.000    0.001    0.000 getlimits.py:36(__init__)
     30/4    0.000    0.000    0.001    0.000 core.py:4279(streamline)
        1    0.000    0.000    0.001    0.001 dates.py:1(<module>)
     6229    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
   274/19    0.000    0.000    0.001    0.000 ast.py:424(generic_visit)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 helpers.py:686(make_html_tags)
        1    0.000    0.000    0.001    0.001 helpers.py:627(_makeTags)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        2    0.000    0.000    0.001    0.001 dataclasses.py:470(add_fns_to_class)
     7312    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
       14    0.000    0.000    0.001    0.000 core.py:121(doc_note)
      443    0.000    0.000    0.001    0.000 copy.py:248(_reconstruct)
     2777    0.001    0.000    0.001    0.000 _parser.py:175(append)
      598    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      490    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
        1    0.000    0.000    0.001    0.001 _abc.py:1(<module>)
       89    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      712    0.000    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 _utils_impl.py:1(<module>)
       44    0.000    0.000    0.001    0.000 _base.py:67(__set_name__)
1426/1246    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
 4310/959    0.001    0.000    0.001    0.000 __init__.py:354(recursive_subclasses)
     7094    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
        3    0.000    0.000    0.001    0.000 _common.py:1(<module>)
     78/4    0.000    0.000    0.001    0.000 core.py:1060(_parseCache)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      392    0.000    0.000    0.001    0.000 inspect.py:2832(replace)
     3277    0.001    0.000    0.001    0.000 inspect.py:3098(<genexpr>)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1488(_path_hooks)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
       90    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
     4462    0.001    0.000    0.001    0.000 typing.py:1803(<genexpr>)
       83    0.000    0.000    0.001    0.000 core.py:4203(__init__)
     23/6    0.000    0.000    0.001    0.000 core.py:5074(streamline)
      239    0.001    0.000    0.001    0.000 core.py:484(__init__)
      195    0.001    0.000    0.001    0.000 _shape_base_impl.py:628(column_stack)
       40    0.000    0.000    0.001    0.000 getlimits.py:113(_float_to_str)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
      195    0.000    0.000    0.001    0.000 inspect.py:2008(_signature_get_user_defined_method)
     10/3    0.000    0.000    0.001    0.000 unicode.py:14(__get__)
      203    0.000    0.000    0.001    0.000 _parser.py:97(closegroup)
      590    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
    38/18    0.000    0.000    0.001    0.000 core.py:5031(parseImpl)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
